AGENCY_NAME,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property
Fairfield Police Department,2022,899,796,572
Farmersville Police Department,2017,81,143,47
Farmersville Police Department,2018,67,72,19
Farmersville Police Department,2019,73,87,16
Farmersville Police Department,2020,55,110,18
Farmersville Police Department,2022,71,175,29
Ferndale Police Department,2017,5,15,4
Ferndale Police Department,2018,4,11,5
Ferndale Police Department,2019,4,24,2
Ferndale Police Department,2020,8,28,3
Ferndale Police Department,2021,0,2,1
Ferndale Police Department,2022,5,29,5
Firebaugh Police Department,2017,56,136,23
Firebaugh Police Department,2018,54,165,25
Firebaugh Police Department,2019,35,91,35
Firebaugh Police Department,2020,39,67,29
Firebaugh Police Department,2022,58,58,34
Folsom Police Department,2017,156,599,324
Folsom Police Department,2018,144,594,354
Folsom Police Department,2019,179,681,335
Folsom Police Department,2020,127,541,292
Folsom Police Department,2022,155,478,252
Fontana Police Department,2017,1083,2669,1172
Fontana Police Department,2018,1069,2645,1080
Fontana Police Department,2019,1063,2845,1153
Fontana Police Department,2020,912,1580,1034
Fontana Police Department,2021,250,504,460
Fontana Police Department,2022,866,1570,1435
Fontana Unified School District Police,2017,73,101,89
Fontana Unified School District Police,2018,130,45,74
Fontana Unified School District Police,2019,141,56,88
Fontana Unified School District Police,2020,45,14,29
Fontana Unified School District Police,2022,110,33,89
Foothill College Police Department,2017,9,40,4
Foothill College Police Department,2018,3,31,13
Foothill College Police Department,2019,7,46,6
Foothill College Police Department,2020,1,2,1
Foothill College Police Department,2022,0,4,1
Fort Bragg Police Department,2017,126,237,92
Fort Bragg Police Department,2018,104,261,86
Fort Bragg Police Department,2019,76,154,76
Fort Bragg Police Department,2020,81,167,56
Fort Bragg Police Department,2021,44,109,55
Fort Bragg Police Department,2022,64,257,79
Fortuna Police Department,2017,74,319,101
Fortuna Police Department,2018,88,326,69
Fortuna Police Department,2019,74,241,80
Fortuna Police Department,2020,103,240,78
Fortuna Police Department,2021,11,54,7
Fortuna Police Department,2022,59,234,73
Foster City Police Department,2017,52,92,43
Foster City Police Department,2018,72,122,65
Foster City Police Department,2019,60,136,45
Foster City Police Department,2020,61,83,31
Foster City Police Department,2021,12,26,9
Foster City Police Department,2022,60,45,31
Fountain Valley Police Department,2017,136,636,342
Fountain Valley Police Department,2018,137,634,400
Fountain Valley Police Department,2019,133,1076,297
Fountain Valley Police Department,2020,139,743,269
Fountain Valley Police Department,2022,148,595,263
Fowler Police Department,2017,23,57,13
Fowler Police Department,2018,23,83,30
Fowler Police Department,2019,41,93,19
Fowler Police Department,2020,26,108,27
Fowler Police Department,2022,40,156,44
Fremont Police Department,2017,399,864,689
Fremont Police Department,2018,428,1062,655
Fremont Police Department,2019,376,764,644
Fremont Police Department,2020,240,310,395
Fremont Police Department,2022,219,319,393
Fresno County Sheriff's Department,2017,1059,994,735
Fresno County Sheriff's Department,2018,1172,832,689
Fresno County Sheriff's Department,2019,1059,760,602
Fresno County Sheriff's Department,2020,1044,732,691
Fresno County Sheriff's Department,2022,434,177,336
Fresno Police Department,2017,3816,4242,3443
Fresno Police Department,2018,4145,5438,3610
Fresno Police Department,2019,3066,3616,2396
Fresno Police Department,2020,3515,2919,2956
Fresno Police Department,2021,2376,1685,2321
Fresno Police Department,2022,2815,1888,2715
Fullerton Police Department,2017,830,3288,721
Fullerton Police Department,2018,908,2997,837
Fullerton Police Department,2019,918,2817,770
Fullerton Police Department,2020,859,1896,672
Fullerton Police Department,2022,865,2006,593
Galt Police Department,2017,115,404,212
Galt Police Department,2018,123,349,150
Galt Police Department,2019,129,228,111
Galt Police Department,2020,91,225,81
Galt Police Department,2022,86,109,76
Garden Grove Police Department,2017,648,2548,1212
Garden Grove Police Department,2018,553,2613,952
Garden Grove Police Department,2019,590,2703,817
Garden Grove Police Department,2020,565,2255,879
Garden Grove Police Department,2021,25,58,41
Garden Grove Police Department,2022,326,838,468
Gardena Police Department,2017,222,620,479
Gardena Police Department,2018,236,578,561
Gardena Police Department,2019,236,601,420
Gardena Police Department,2020,184,383,438
Gardena Police Department,2021,137,356,392
Gardena Police Department,2022,121,335,396
Gilroy Police Department,2017,347,696,377
Gilroy Police Department,2018,407,990,372
Gilroy Police Department,2019,396,811,304
Gilroy Police Department,2020,333,550,317
Gilroy Police Department,2022,267,361,201
Glendale Police Department,2017,680,2988,1832
Glendale Police Department,2018,783,2894,1760
Glendale Police Department,2019,783,3022,1870
Glendale Police Department,2020,653,2145,1423
Glendale Police Department,2022,568,1836,1582
Glendora Police Department,2017,170,686,581
Glendora Police Department,2018,169,630,591
Glendora Police Department,2019,214,711,538
Glendora Police Department,2020,146,330,274
Glendora Police Department,2022,200,320,362
Glenn County Sheriff's Department,2017,107,148,81
Glenn County Sheriff's Department,2018,142,341,124
Glenn County Sheriff's Department,2019,169,351,100
Glenn County Sheriff's Department,2020,108,226,73
Glenn County Sheriff's Department,2021,26,95,29
Glenn County Sheriff's Department,2022,30,66,20
Gonzales Police Department,2017,52,130,19
Gonzales Police Department,2018,34,132,36
Gonzales Police Department,2019,50,145,34
Gonzales Police Department,2020,37,102,27
Gonzales Police Department,2021,30,50,17
Gonzales Police Department,2022,26,85,24
Grass Valley Police Department,2017,129,379,214
Grass Valley Police Department,2018,155,498,146
Grass Valley Police Department,2019,215,496,152
Grass Valley Police Department,2020,155,356,130
Grass Valley Police Department,2021,11,42,14
Grass Valley Police Department,2022,117,271,105
Greenfield Police Department,2017,130,227,69
Greenfield Police Department,2018,166,390,91
Greenfield Police Department,2019,134,319,48
Greenfield Police Department,2020,101,194,61
Greenfield Police Department,2021,75,173,61
Greenfield Police Department,2022,115,191,73
Gridley Police Department,2017,52,107,40
Gridley Police Department,2018,63,139,64
Gridley Police Department,2019,45,164,55
Gridley Police Department,2020,68,253,49
Gridley Police Department,2022,49,83,30
Grover Beach Police Department,2017,57,340,53
Grover Beach Police Department,2018,35,198,52
Grover Beach Police Department,2019,31,219,40
Grover Beach Police Department,2020,41,171,37
Grover Beach Police Department,2021,27,215,52
Grover Beach Police Department,2022,34,151,36
Guadalupe Police Department,2017,35,97,14
Guadalupe Police Department,2018,39,93,20
Guadalupe Police Department,2019,45,62,30
Guadalupe Police Department,2020,49,62,33
Guadalupe Police Department,2022,24,31,16
Gustine Police Department,2017,45,66,13
Gustine Police Department,2018,39,43,16
Gustine Police Department,2019,36,40,18
Gustine Police Department,2020,38,54,23
Gustine Police Department,2021,12,10,4
Gustine Police Department,2022,18,65,8
Hanford Police Department,2017,338,689,316
Hanford Police Department,2018,405,710,395
Hanford Police Department,2019,375,855,411
Hanford Police Department,2020,330,804,311
Hanford Police Department,2021,100,309,114
Hanford Police Department,2022,296,714,287
Hawthorne Police Department,2017,349,694,616
Hawthorne Police Department,2018,478,727,558
Hawthorne Police Department,2019,466,896,587
Hawthorne Police Department,2020,512,600,444
Hawthorne Police Department,2022,483,556,471
Hayward Police Department,2017,564,996,593
Hayward Police Department,2018,574,979,520
Hayward Police Department,2019,593,1084,552
Hayward Police Department,2020,490,472,372
Hayward Police Department,2022,414,396,322
Healdsburg Police Department,2017,56,254,62
Healdsburg Police Department,2018,42,254,62
Healdsburg Police Department,2019,51,217,60
Healdsburg Police Department,2020,51,144,48
Healdsburg Police Department,2021,17,51,21
Healdsburg Police Department,2022,60,174,67
Hemet Police Department,2017,553,1181,511
Hemet Police Department,2018,536,1361,405
Hemet Police Department,2019,418,1175,417
Hemet Police Department,2020,263,809,395
Hemet Police Department,2021,91,384,118
Hemet Police Department,2022,197,855,287
Hercules Police Department,2017,47,102,54
Hercules Police Department,2018,47,106,90
Hercules Police Department,2019,45,102,59
Hercules Police Department,2020,33,105,78
Hercules Police Department,2022,40,91,121
Hermosa Beach Police Department,2017,52,458,78
Hermosa Beach Police Department,2018,74,354,69
Hermosa Beach Police Department,2019,52,265,69
Hermosa Beach Police Department,2020,42,179,66
Hermosa Beach Police Department,2021,37,346,106
Hermosa Beach Police Department,2022,40,381,176
Hillsborough Police Department,2017,5,34,6
Hillsborough Police Department,2018,11,50,6
Hillsborough Police Department,2019,8,62,6
Hillsborough Police Department,2020,3,18,4
Hillsborough Police Department,2021,1,9,3
Hillsborough Police Department,2022,6,10,5
Hollister Police Department,2017,269,459,164
Hollister Police Department,2018,259,604,135
Hollister Police Department,2019,259,374,155
Hollister Police Department,2020,219,328,103
Hollister Police Department,2021,144,289,89
Hollister Police Department,2022,154,283,93
Humboldt County Sheriff's Department,2017,254,345,169
Humboldt County Sheriff's Department,2018,291,330,132
Humboldt County Sheriff's Department,2019,401,483,169
Humboldt County Sheriff's Department,2020,298,486,140
Humboldt County Sheriff's Department,2022,367,514,207
Huntington Beach Police Department,2017,718,3491,747
Huntington Beach Police Department,2018,791,4250,748
Huntington Beach Police Department,2019,761,3861,695
Huntington Beach Police Department,2020,773,3055,634
Huntington Beach Police Department,2022,931,3349,779
Huntington Park Police Department,2017,344,625,311
Huntington Park Police Department,2018,394,699,348
Huntington Park Police Department,2019,360,685,388
Huntington Park Police Department,2020,292,379,373
Huntington Park Police Department,2022,257,379,267
Huron Police Department,2017,108,214,36
Huron Police Department,2018,110,245,24
Huron Police Department,2019,100,272,38
Huron Police Department,2020,120,247,47
Huron Police Department,2022,132,220,47
Imperial County Sheriff's Department,2017,389,579,260
Imperial County Sheriff's Department,2018,289,366,193
Imperial County Sheriff's Department,2019,263,491,189
Imperial County Sheriff's Department,2020,213,183,142
Imperial County Sheriff's Department,2022,199,153,119
Imperial Police Department,2017,39,48,24
Imperial Police Department,2018,28,52,18
Imperial Police Department,2019,27,77,22
Imperial Police Department,2020,41,58,26
Imperial Police Department,2022,33,36,18
Indio Police Department,2017,357,689,441
Indio Police Department,2018,371,590,395
Indio Police Department,2019,361,553,337
Indio Police Department,2020,370,518,325
Indio Police Department,2022,374,462,277
Inglewood Police Department,2017,364,464,438
Inglewood Police Department,2018,422,500,469
Inglewood Police Department,2019,371,629,394
Inglewood Police Department,2020,343,397,373
Inglewood Police Department,2022,327,226,326
Inyo County Sheriff's Department,2017,121,120,51
Inyo County Sheriff's Department,2018,127,101,32
Inyo County Sheriff's Department,2019,100,84,39
Inyo County Sheriff's Department,2020,118,59,32
Inyo County Sheriff's Department,2022,83,61,28
Ione Police Department,2017,16,45,9
Ione Police Department,2018,19,65,10
Ione Police Department,2019,21,64,9
Ione Police Department,2020,12,51,7
Ione Police Department,2022,9,17,3
Irvine Police Department,2017,423,1505,637
Irvine Police Department,2018,436,1054,353
Irvine Police Department,2019,406,1101,416
Irvine Police Department,2020,400,913,329
Irvine Police Department,2022,303,690,457
Irwindale Police Department,2017,28,75,35
Irwindale Police Department,2018,29,80,32
Irwindale Police Department,2019,12,87,34
Irwindale Police Department,2020,15,29,19
Irwindale Police Department,2021,6,59,56
Irwindale Police Department,2022,13,88,45
Jackson Police Department,2017,15,73,16
Jackson Police Department,2018,16,80,18
Jackson Police Department,2019,25,74,13
Jackson Police Department,2020,27,56,11
Jackson Police Department,2022,28,45,9
Kerman Police Department,2017,104,170,109
Kerman Police Department,2018,106,201,118
Kerman Police Department,2019,71,185,69
Kerman Police Department,2020,83,143,123
Kerman Police Department,2022,66,95,27
Kern County Sheriff's Department,2017,2146,2712,1478
Kern County Sheriff's Department,2018,2445,3026,1818
Kern County Sheriff's Department,2019,2356,2931,1652
Kern County Sheriff's Department,2020,2289,1767,1485
Kern County Sheriff's Department,2022,2295,1434,1613
King City Police Department,2017,63,89,36
King City Police Department,2018,50,137,42
King City Police Department,2019,31,71,31
King City Police Department,2020,63,89,32
King City Police Department,2022,73,120,37
Kings County Sheriff's Department,2017,153,852,178
Kings County Sheriff's Department,2018,200,766,182
Kings County Sheriff's Department,2019,189,934,218
Kings County Sheriff's Department,2020,159,801,177
Kings County Sheriff's Department,2021,14,80,30
Kings County Sheriff's Department,2022,111,525,124
Kingsburg Police Department,2017,71,152,59
Kingsburg Police Department,2018,62,67,63
Kingsburg Police Department,2019,51,51,44
Kingsburg Police Department,2020,39,29,24
Kingsburg Police Department,2022,61,76,36
La Habra Police Department,2017,207,927,282
La Habra Police Department,2018,202,854,230
La Habra Police Department,2019,253,968,237
La Habra Police Department,2020,209,806,241
La Habra Police Department,2021,74,352,155
La Habra Police Department,2022,240,838,315
La Mesa Police Department,2017,352,1329,469
La Mesa Police Department,2018,331,1411,520
La Mesa Police Department,2019,297,979,403
La Mesa Police Department,2020,241,522,206
La Mesa Police Department,2021,86,361,96
La Mesa Police Department,2022,229,404,203
La Palma Police Department,2017,34,141,64
La Palma Police Department,2018,52,154,79
La Palma Police Department,2019,50,130,78
La Palma Police Department,2020,56,86,67
La Palma Police Department,2021,30,105,98
La Palma Police Department,2022,32,76,77
La Verne Police Department,2017,118,500,358
La Verne Police Department,2018,88,379,253
La Verne Police Department,2019,52,178,179
La Verne Police Department,2020,51,86,94
La Verne Police Department,2021,53,74,104
La Verne Police Department,2022,43,50,97
Laguna Beach Police Department,2017,184,1052,158
Laguna Beach Police Department,2018,169,897,114
Laguna Beach Police Department,2019,203,905,96
Laguna Beach Police Department,2020,128,451,115
Laguna Beach Police Department,2022,173,565,69
Lake County Sheriff's Department,2017,303,784,151
Lake County Sheriff's Department,2018,290,583,148
Lake County Sheriff's Department,2019,254,488,113
Lake County Sheriff's Department,2020,216,328,87
Lake County Sheriff's Department,2021,30,57,7
Lake County Sheriff's Department,2022,135,215,111
Lake Shastina Police Department,2017,5,5,1
Lake Shastina Police Department,2018,20,11,10
Lake Shastina Police Department,2019,6,4,4
Lake Shastina Police Department,2020,13,21,4
Lake Shastina Police Department,2022,6,32,4
Lakeport Police Department,2017,46,196,77
Lakeport Police Department,2018,66,241,65
Lakeport Police Department,2019,57,165,55
Lakeport Police Department,2020,44,93,19
Lakeport Police Department,2021,4,53,10
Lakeport Police Department,2022,39,154,32
Lassen County Sheriff's Department,2017,91,49,56
Lassen County Sheriff's Department,2018,91,66,62
Lassen County Sheriff's Department,2019,104,88,47
Lassen County Sheriff's Department,2020,75,75,55
Lassen County Sheriff's Department,2021,10,5,5
Lassen County Sheriff's Department,2022,46,44,66
Lemoore Police Department,2017,216,368,113
Lemoore Police Department,2018,188,373,116
Lemoore Police Department,2019,212,300,69
Lemoore Police Department,2020,159,429,87
Lemoore Police Department,2021,72,128,37
Lemoore Police Department,2022,175,310,131
Lincoln Police Department,2017,49,209,50
Lincoln Police Department,2018,50,326,66
Lincoln Police Department,2019,45,278,90
Lincoln Police Department,2020,58,435,79
Lincoln Police Department,2021,5,17,6
Lincoln Police Department,2022,71,256,98
Lindsay Police Department,2017,78,178,86
Lindsay Police Department,2018,100,167,74
Lindsay Police Department,2019,74,117,66
Lindsay Police Department,2020,62,79,39
Lindsay Police Department,2022,91,161,75
Livermore Police Department,2017,271,1154,346
Livermore Police Department,2018,309,1193,369
Livermore Police Department,2019,371,1276,369
Livermore Police Department,2020,225,753,337
Livermore Police Department,2022,230,710,278
Livingston Police Department,2017,86,188,52
Livingston Police Department,2018,68,146,62
Livingston Police Department,2019,71,132,53
Livingston Police Department,2020,71,96,42
Livingston Police Department,2021,22,30,21
Livingston Police Department,2022,69,100,77
Lodi Police Department,2017,443,983,420
Lodi Police Department,2018,472,773,378
Lodi Police Department,2019,458,957,374
Lodi Police Department,2020,434,942,385
Lompoc Police Department,2017,280,368,214
Lompoc Police Department,2018,299,383,164
Lompoc Police Department,2019,279,343,214
Lompoc Police Department,2020,258,260,160
Lompoc Police Department,2022,177,217,134
Long Beach Police Department,2017,2579,3939,2185
Long Beach Police Department,2018,2926,3903,2162
Long Beach Police Department,2019,2866,3496,2165
Long Beach Police Department,2020,2639,2183,1971
Long Beach Police Department,2022,2007,1036,1185
Los Alamitos Police Department,2017,34,171,55
Los Alamitos Police Department,2018,26,112,36
Los Alamitos Police Department,2019,23,123,44
Los Alamitos Police Department,2020,39,193,67
Los Alamitos Police Department,2022,12,94,76
Los Altos Police Department,2017,31,50,34
Los Altos Police Department,2018,31,82,39
Los Altos Police Department,2019,29,68,38
Los Altos Police Department,2020,20,41,31
Los Altos Police Department,2021,0,1,4
Los Altos Police Department,2022,17,11,28
Los Angeles County Sheriff's Department,2017,4273,9605,5290
Los Angeles County Sheriff's Department,2018,4055,10588,4977
Los Angeles County Sheriff's Department,2019,4274,12205,5045
Los Angeles County Sheriff's Department,2020,4082,9790,5104
Los Angeles County Sheriff's Department,2022,4130,7846,4992
Los Angeles Police Department,2017,14717,18814,15900
Los Angeles Police Department,2018,14932,16200,14979
Los Angeles Police Department,2019,14541,15746,13840
Los Angeles Police Department,2020,12322,10671,11360
Los Angeles Police Department,2022,12691,9450,11863
Los Banos Police Department,2017,252,520,201
Los Banos Police Department,2018,272,519,172
Los Banos Police Department,2019,227,481,183
Los Banos Police Department,2020,207,452,148
Los Banos Police Department,2022,222,284,186
Los Gatos Police Department,2017,69,277,89
Los Gatos Police Department,2018,96,331,109
Los Gatos Police Department,2019,81,284,87
Los Gatos Police Department,2020,49,127,59
Los Gatos Police Department,2021,10,16,16
Los Gatos Police Department,2022,63,95,90
Madera County Sheriff's Department,2017,235,231,156
Madera County Sheriff's Department,2018,220,244,157
Madera County Sheriff's Department,2019,238,277,170
Madera County Sheriff's Department,2020,247,239,132
Madera County Sheriff's Department,2021,285,244,150
Madera County Sheriff's Department,2022,272,239,168
Madera Police Department,2017,557,1143,344
Madera Police Department,2018,684,1449,381
Madera Police Department,2019,615,1366,354
Madera Police Department,2020,514,1120,301
Madera Police Department,2021,366,778,327
Madera Police Department,2022,372,740,332
Mammoth Lakes Police Department,2017,56,50,30
Mammoth Lakes Police Department,2018,53,30,11
Mammoth Lakes Police Department,2019,65,51,24
Mammoth Lakes Police Department,2020,47,34,16
Mammoth Lakes Police Department,2022,46,35,27
Manhattan Beach Police Department,2017,85,436,435
Manhattan Beach Police Department,2018,86,354,411
Manhattan Beach Police Department,2019,88,319,406
Manhattan Beach Police Department,2020,62,210,277
Manhattan Beach Police Department,2022,55,298,296
Manteca Police Department,2017,360,416,376
Manteca Police Department,2018,300,461,325
Manteca Police Department,2019,329,593,332
Manteca Police Department,2020,276,418,348
Manteca Police Department,2022,315,413,372
Marin Community College Police Department,2017,3,4,0
Marin Community College Police Department,2018,2,6,1
Marin Community College Police Department,2019,4,4,1
Marin Community College Police Department,2020,0,3,3
Marin Community College Police Department,2022,1,3,5
Marin County Sheriff's Department,2017,202,253,136
Marin County Sheriff's Department,2018,196,301,162
Marin County Sheriff's Department,2019,205,337,121
Marin County Sheriff's Department,2020,156,324,123
Marin County Sheriff's Department,2022,167,359,118
Marina Police Department,2017,122,243,113
Marina Police Department,2018,122,257,67
Marina Police Department,2019,128,190,81
Marina Police Department,2020,136,330,70
Marina Police Department,2021,51,185,64
Marina Police Department,2022,98,265,102
Mariposa County Sheriff's Department,2017,90,186,50
Mariposa County Sheriff's Department,2018,76,228,50
Mariposa County Sheriff's Department,2019,128,311,64
Mariposa County Sheriff's Department,2020,84,244,54
Mariposa County Sheriff's Department,2021,44,77,29
Mariposa County Sheriff's Department,2022,59,146,25
Martinez Police Department,2017,77,369,113
Martinez Police Department,2018,93,379,108
Martinez Police Department,2019,86,455,143
Martinez Police Department,2020,89,319,124
Martinez Police Department,2022,56,155,56
Marysville Police Department,2017,157,376,110
Marysville Police Department,2018,164,463,106
Marysville Police Department,2019,154,545,98
Marysville Police Department,2020,133,379,100
Marysville Police Department,2022,100,350,88
McFarland Police Department,2017,80,252,40
McFarland Police Department,2018,83,183,54
McFarland Police Department,2019,95,155,44
McFarland Police Department,2020,81,147,53
McFarland Police Department,2022,85,139,58
Mendocino County Sheriff's Department,2017,286,586,138
Mendocino County Sheriff's Department,2018,324,801,203
Mendocino County Sheriff's Department,2019,355,547,175
Mendocino County Sheriff's Department,2020,284,362,163
Mendota Police Department,2017,110,200,53
Mendota Police Department,2018,98,162,32
Mendota Police Department,2019,97,193,56
Mendota Police Department,2020,96,195,42
Mendota Police Department,2022,104,149,40
Menlo Park Police Department,2017,85,301,129
Menlo Park Police Department,2018,66,300,90
Menlo Park Police Department,2019,80,323,114
Menlo Park Police Department,2020,55,250,110
Menlo Park Police Department,2022,52,228,101
Merced County Sheriff's Department,2017,418,268,201
Merced County Sheriff's Department,2018,495,333,207
Merced County Sheriff's Department,2019,370,260,188
Merced County Sheriff's Department,2020,348,243,156
Merced County Sheriff's Department,2022,325,175,193
Merced Police Department,2017,1018,1416,1052
Merced Police Department,2018,940,967,744
Merced Police Department,2019,940,1086,681
Merced Police Department,2020,917,813,622
Merced Police Department,2022,648,563,497
Mill Valley Police Department,2017,22,107,28
Mill Valley Police Department,2018,9,94,29
Mill Valley Police Department,2019,21,107,15
Mill Valley Police Department,2020,8,54,18
Mill Valley Police Department,2022,13,57,20
Milpitas Police Department,2017,258,685,585
Milpitas Police Department,2018,268,762,390
Milpitas Police Department,2019,284,628,397
Milpitas Police Department,2020,278,585,269
Milpitas Police Department,2022,281,514,418
Modesto Police Department,2017,1385,2688,1484
Modesto Police Department,2018,1670,2474,1350
Modesto Police Department,2019,1734,2548,1382
Modesto Police Department,2020,1799,3090,1395
Modesto Police Department,2022,1316,1805,1180
Modoc County Sheriff's Department,2017,53,40,11
Modoc County Sheriff's Department,2018,55,55,22
Modoc County Sheriff's Department,2019,38,37,32
Modoc County Sheriff's Department,2020,33,13,20
Modoc County Sheriff's Department,2021,2,0,1
Modoc County Sheriff's Department,2022,21,13,12
Mono County Sheriff's Department,2017,23,22,12
Mono County Sheriff's Department,2018,46,22,6
Mono County Sheriff's Department,2019,38,12,7
Mono County Sheriff's Department,2020,32,21,14
Mono County Sheriff's Department,2022,28,7,6
Monrovia Police Department,2017,125,337,240
Monrovia Police Department,2018,123,457,252
Monrovia Police Department,2019,112,432,195
Monrovia Police Department,2020,91,192,162
Monrovia Police Department,2021,66,211,158
Monrovia Police Department,2022,69,393,188
Montclair Police Department,2017,255,495,445
Montclair Police Department,2018,293,583,449
Montclair Police Department,2019,239,568,427
Montclair Police Department,2020,230,520,358
Montclair Police Department,2021,93,181,139
Montclair Police Department,2022,158,373,407
Monte Sereno,2017,4,5,2
Monte Sereno,2018,2,8,4
Monte Sereno,2019,2,5,2
Monte Sereno,2020,2,3,2
Monte Sereno,2021,1,0,0
Monte Sereno,2022,6,3,4
Montebello Police Department,2017,269,631,347
Montebello Police Department,2018,284,473,284
Montebello Police Department,2019,239,323,300
Montebello Police Department,2020,168,306,220
Montebello Police Department,2022,224,277,177
Monterey County Sheriff's Department,2017,269,295,212
Monterey County Sheriff's Department,2018,315,400,274
Monterey County Sheriff's Department,2019,330,540,234
Monterey County Sheriff's Department,2020,311,398,218
Monterey County Sheriff's Department,2021,186,222,142
Monterey County Sheriff's Department,2022,220,388,164
Monterey Park Police Department,2017,147,238,157
Monterey Park Police Department,2018,178,193,194
Monterey Park Police Department,2019,157,210,259
Monterey Park Police Department,2020,147,220,214
Monterey Park Police Department,2022,151,128,201
Monterey Police Department,2017,254,808,298
Monterey Police Department,2018,274,843,216
Monterey Police Department,2019,253,833,203
Monterey Police Department,2020,228,650,201
Monterey Police Department,2022,156,555,167
Moraga Police Department,2017,9,19,17
Moraga Police Department,2018,13,43,13
Moraga Police Department,2019,7,25,24
Moraga Police Department,2020,9,23,26
Moraga Police Department,2021,8,29,23
Moraga Police Department,2022,6,12,25
Morgan Hill Police Department,2017,209,660,270
Morgan Hill Police Department,2018,205,477,231
Morgan Hill Police Department,2019,209,500,191
Morgan Hill Police Department,2020,170,409,194
Morgan Hill Police Department,2021,62,169,76
Morgan Hill Police Department,2022,86,286,170
Morro Bay Police Department,2017,62,415,67
Morro Bay Police Department,2018,66,288,31
Morro Bay Police Department,2019,53,339,47
Morro Bay Police Department,2020,73,334,50
Morro Bay Police Department,2022,57,275,33
Mount Shasta Police Department,2017,36,63,29
Mount Shasta Police Department,2018,22,76,17
Mount Shasta Police Department,2019,27,45,19
Mount Shasta Police Department,2020,18,46,12
Mount Shasta Police Department,2022,26,89,11
Mountain View Police Department,2017,301,885,266
Mountain View Police Department,2018,285,707,251
Mountain View Police Department,2019,277,710,246
Mountain View Police Department,2020,238,469,223
Mountain View Police Department,2021,8,79,16
Mountain View Police Department,2022,168,456,157
Murrieta Police Department,2017,269,1228,309
Murrieta Police Department,2018,240,1023,284
Murrieta Police Department,2019,299,991,264
Murrieta Police Department,2020,269,937,217
Murrieta Police Department,2021,213,357,181
Murrieta Police Department,2022,272,406,231
Napa County Sheriff's Department,2017,122,270,132
Napa County Sheriff's Department,2018,109,269,90
Napa County Sheriff's Department,2019,111,217,79
Napa County Sheriff's Department,2020,62,179,96
Napa County Sheriff's Department,2022,88,196,61
Napa Police Department,2017,395,773,271
Napa Police Department,2018,365,773,249
Napa Police Department,2019,366,683,230
Napa Police Department,2020,342,605,204
Napa Police Department,2022,310,633,187
National City Police Department,2017,321,946,479
National City Police Department,2018,284,928,369
National City Police Department,2019,342,781,464
National City Police Department,2020,342,696,296
National City Police Department,2021,124,527,150
National City Police Department,2022,267,451,252
Nevada City Police Department,2017,17,144,11
Nevada City Police Department,2018,17,177,23
Nevada City Police Department,2019,21,177,23
Nevada City Police Department,2020,25,120,27
Nevada City Police Department,2022,17,76,24
Nevada County Sheriff's Department,2017,218,283,155
Nevada County Sheriff's Department,2018,202,292,132
Nevada County Sheriff's Department,2019,243,234,114
Nevada County Sheriff's Department,2020,140,115,74
Nevada County Sheriff's Department,2022,114,44,43
Newark Police Department,2017,144,405,234
Newark Police Department,2018,138,389,136
Newark Police Department,2019,130,340,133
Newark Police Department,2020,96,291,168
Newark Police Department,2021,21,35,30
Newark Police Department,2022,122,142,115
Newman Police Department,2017,51,99,30
Newman Police Department,2018,41,98,29
Newman Police Department,2019,46,53,22
Newman Police Department,2020,36,84,36
Newman Police Department,2022,44,88,38
Newport Beach Police Department,2017,310,1841,557
Newport Beach Police Department,2018,378,1842,504
Newport Beach Police Department,2019,334,1738,567
Newport Beach Police Department,2020,333,1326,499
Newport Beach Police Department,2022,340,1291,525
Novato Police Department,2017,242,594,187
Novato Police Department,2018,262,845,148
Novato Police Department,2019,203,548,116
Novato Police Department,2020,209,405,97
Novato Police Department,2021,9,11,12
Novato Police Department,2022,160,238,148
Oakdale Police Department,2017,162,457,170
Oakdale Police Department,2018,133,362,100
Oakdale Police Department,2019,146,625,125
Oakdale Police Department,2020,193,659,156
Oakdale Police Department,2022,172,390,105
Oakland Police Department,2017,3081,2152,2494
Oakland Police Department,2018,2966,1523,2307
Oakland Police Department,2019,2939,1335,2156
Oakland Police Department,2020,2836,827,2362
Oakland Police Department,2022,2322,602,2037
Oceanside Police Department,2017,820,2165,662
Oceanside Police Department,2018,815,2832,713
Oceanside Police Department,2019,910,2806,939
Oceanside Police Department,2020,856,2919,708
Oceanside Police Department,2021,357,1476,272
Oceanside Police Department,2022,740,1570,469
Ontario Police Department,2017,1102,2908,1554
Ontario Police Department,2018,1048,2625,1165
Ontario Police Department,2019,944,1854,905
Ontario Police Department,2020,921,1867,786
Ontario Police Department,2022,821,1110,1115
Orange County Sheriff's Department,2017,388,1166,440
Orange County Sheriff's Department,2018,385,1794,503
Orange County Sheriff's Department,2019,379,2071,457
Orange County Sheriff's Department,2020,274,1384,351
Orange County Sheriff's Department,2021,78,150,117
Orange County Sheriff's Department,2022,217,374,300
Orange Cove Police Department,2017,78,66,16
Orange Cove Police Department,2018,60,60,27
Orange Cove Police Department,2019,60,61,24
Orange Cove Police Department,2020,61,75,19
Orange Cove Police Department,2022,65,50,23
Orange Police Department,2017,457,2300,577
Orange Police Department,2018,468,2528,621
Orange Police Department,2019,456,2172,590
Orange Police Department,2020,432,2394,496
Orange Police Department,2022,253,813,359
Orland Police Department,2017,57,134,38
Orland Police Department,2018,69,94,25
