AGENCY_NAME,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property
Sand City Police Department,2021,5,59,32
Sand City Police Department,2022,5,61,38
Santa Clara Police Department,2017,440,1317,493
Santa Clara Police Department,2018,467,1258,450
Santa Clara Police Department,2019,477,1285,454
Santa Clara Police Department,2020,399,727,363
Santa Clara Police Department,2021,132,155,148
Santa Clara Police Department,2022,389,513,625
Santa Cruz County Sheriff's Department,2017,634,1068,523
Santa Cruz County Sheriff's Department,2018,679,918,548
Santa Cruz County Sheriff's Department,2019,736,890,443
Santa Cruz County Sheriff's Department,2020,619,830,407
Santa Cruz County Sheriff's Department,2021,102,188,52
Santa Cruz County Sheriff's Department,2022,481,946,316
Santa Maria Police Department,2017,768,1194,425
Santa Maria Police Department,2018,663,1079,378
Santa Maria Police Department,2019,424,789,323
Santa Maria Police Department,2020,555,993,331
Santa Maria Police Department,2021,468,679,364
Santa Maria Police Department,2022,574,788,496
Santa Paula Police Department,2017,187,331,107
Santa Paula Police Department,2018,197,320,153
Santa Paula Police Department,2019,229,491,126
Santa Paula Police Department,2020,234,447,141
Santa Paula Police Department,2021,125,246,107
Santa Paula Police Department,2022,167,146,125
Scotts Valley Police Department,2017,34,231,63
Scotts Valley Police Department,2018,48,322,55
Scotts Valley Police Department,2019,40,200,57
Scotts Valley Police Department,2020,29,155,34
Scotts Valley Police Department,2021,6,18,6
Scotts Valley Police Department,2022,40,158,49
Seaside Police Department,2017,125,414,110
Seaside Police Department,2018,157,401,78
Seaside Police Department,2019,116,265,81
Seaside Police Department,2020,131,217,83
Seaside Police Department,2021,61,117,56
Seaside Police Department,2022,131,265,104
Soledad Police Department,2017,128,168,63
Soledad Police Department,2018,124,150,73
Soledad Police Department,2019,109,104,62
Soledad Police Department,2020,100,128,57
Soledad Police Department,2021,50,106,27
Soledad Police Department,2022,57,126,62
Stockton Police Department,2017,2055,1859,1884
Stockton Police Department,2018,2087,1735,1750
Stockton Police Department,2019,2227,1328,1765
Stockton Police Department,2020,2133,1022,1582
Stockton Police Department,2021,1202,1043,1272
Stockton Police Department,2022,1280,997,1565
Sunnyvale Department of Public Safety,2017,447,1143,501
Sunnyvale Department of Public Safety,2018,432,914,419
Sunnyvale Department of Public Safety,2019,432,966,411
Sunnyvale Department of Public Safety,2020,470,748,355
Sunnyvale Department of Public Safety,2021,137,217,109
Sunnyvale Department of Public Safety,2022,425,546,435
Susanville Police Department,2017,86,118,55
Susanville Police Department,2018,82,116,58
Susanville Police Department,2019,75,104,62
Susanville Police Department,2020,70,105,62
Susanville Police Department,2021,5,5,8
Susanville Police Department,2022,46,73,43
Tehama County Sheriff's Department,2017,129,240,82
Tehama County Sheriff's Department,2018,165,208,88
Tehama County Sheriff's Department,2019,138,210,104
Tehama County Sheriff's Department,2020,127,130,43
Tehama County Sheriff's Department,2021,99,119,62
Tehama County Sheriff's Department,2022,103,128,82
Torrance Police Department,2017,260,897,838
Torrance Police Department,2018,306,925,741
Torrance Police Department,2019,310,875,802
Torrance Police Department,2020,281,689,696
Torrance Police Department,2021,8,36,46
Torrance Police Department,2022,253,539,565
Tracy Police Department,2017,410,684,426
Tracy Police Department,2018,406,614,441
Tracy Police Department,2019,359,541,259
Tracy Police Department,2020,271,276,153
Tracy Police Department,2021,177,301,149
Tracy Police Department,2022,224,407,226
Tulare Police Department,2017,803,1153,609
Tulare Police Department,2018,729,1106,570
Tulare Police Department,2019,685,1094,603
Tulare Police Department,2020,628,834,449
Tulare Police Department,2021,407,476,270
Tulare Police Department,2022,435,411,259
Tustin Police Department,2017,368,922,452
Tustin Police Department,2018,377,880,470
Tustin Police Department,2019,371,1027,534
Tustin Police Department,2020,304,1047,533
Tustin Police Department,2021,111,392,217
Tustin Police Department,2022,247,689,455
UC Davis Police Department,2017,14,66,22
UC Davis Police Department,2018,17,27,13
UC Davis Police Department,2019,9,34,25
UC Davis Police Department,2020,8,13,7
UC Davis Police Department,2021,1,1,0
UC Davis Police Department,2022,5,27,20
UC San Francisco Police Department,2017,44,81,58
UC San Francisco Police Department,2018,49,33,54
UC San Francisco Police Department,2019,53,44,52
UC San Francisco Police Department,2020,32,12,43
UC San Francisco Police Department,2021,5,1,7
UC San Francisco Police Department,2022,42,8,38
UC Santa Barbara Police Department,2017,36,421,37
UC Santa Barbara Police Department,2018,36,330,44
UC Santa Barbara Police Department,2019,36,251,43
UC Santa Barbara Police Department,2020,11,69,24
UC Santa Barbara Police Department,2021,5,17,13
UC Santa Barbara Police Department,2022,5,28,12
UC Santa Cruz Police Department,2017,11,65,26
UC Santa Cruz Police Department,2018,16,112,20
UC Santa Cruz Police Department,2019,10,68,20
UC Santa Cruz Police Department,2020,5,34,9
UC Santa Cruz Police Department,2021,6,3,3
UC Santa Cruz Police Department,2022,11,4,12
Upland Police Department,2017,319,1339,529
Upland Police Department,2018,345,1498,570
Upland Police Department,2019,350,1130,483
Upland Police Department,2020,371,560,331
Upland Police Department,2021,125,192,131
Upland Police Department,2022,332,608,354
Vernon Police Department,2017,37,178,102
Vernon Police Department,2018,45,154,104
Vernon Police Department,2019,30,192,98
Vernon Police Department,2020,34,94,144
Vernon Police Department,2021,6,23,42
Vernon Police Department,2022,27,69,117
West Covina Police Department,2017,286,816,962
West Covina Police Department,2018,304,821,713
West Covina Police Department,2019,270,628,601
West Covina Police Department,2020,210,338,354
West Covina Police Department,2021,97,165,138
West Covina Police Department,2022,76,243,169
Williams Police Department,2017,26,47,12
Williams Police Department,2018,38,53,14
Williams Police Department,2019,33,51,8
Williams Police Department,2020,23,49,14
Williams Police Department,2021,4,21,4
Williams Police Department,2022,17,49,25
Woodland Police Department,2017,320,627,247
Woodland Police Department,2018,356,628,303
Woodland Police Department,2019,320,637,280
Woodland Police Department,2020,285,425,241
Woodland Police Department,2021,66,114,75
Woodland Police Department,2022,216,429,220
Yuba City Police Department,2017,542,1051,723
Yuba City Police Department,2018,483,1200,637
Yuba City Police Department,2019,506,1267,703
Yuba City Police Department,2020,421,727,564
Yuba City Police Department,2021,20,59,53
Yuba City Police Department,2022,360,813,436
